City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
nanortalik,60.14,-45.24,11.08,52,51,5.38,GL,1594931943
nome,64.5,-165.41,13.89,82,90,2.6,US,1594931943
machinga,-15.17,35.3,11.93,82,15,2.68,MW,1594931943
mataura,-46.19,168.86,-1.33,98,20,0.94,NZ,1594931944
torbay,47.67,-52.73,9.44,100,90,8.2,CA,1594931915
busselton,-33.65,115.33,8.33,99,71,4.38,AU,1594931944
alvorada,-12.48,-49.12,29.27,33,2,1.96,BR,1594931944
dwarka,22.24,68.97,28.91,77,100,2.82,IN,1594931944
krasnopavlivka,49.14,36.33,16.9,78,97,1.59,UA,1594931944
warrnambool,-38.38,142.48,0.56,96,0,4.0,AU,1594931944
mandla,22.6,80.38,25.03,84,7,1.15,IN,1594931945
nhulunbuy,-12.23,136.77,19.0,88,0,2.1,AU,1594931881
nikolskoye,59.7,30.79,16.0,67,75,4.0,RU,1594931945
lebu,-37.62,-73.65,12.01,89,100,8.36,CL,1594931751
puerto ayora,-0.74,-90.35,24.0,69,20,8.2,EC,1594931945
sur,22.57,59.53,29.67,64,35,3.15,OM,1594931946
fortuna,40.6,-124.16,21.11,77,1,7.7,US,1594931946
khatanga,71.97,102.5,9.65,75,100,6.87,RU,1594931946
zhigansk,66.77,123.37,16.47,84,98,4.83,RU,1594931946
barrow,71.29,-156.79,2.0,80,90,5.7,US,1594931709
roblin,51.23,-101.36,20.94,64,0,7.4,CA,1594931946
port blair,11.67,92.75,27.26,78,100,4.1,IN,1594931947
kapaa,22.08,-159.32,28.0,74,40,5.7,US,1594931941
worthington,40.09,-83.02,31.11,55,90,6.7,US,1594931947
ambilobe,-13.2,49.05,20.29,84,26,1.08,MG,1594931947
dikson,73.51,80.55,4.84,94,100,1.55,RU,1594931947
serenje,-13.23,30.24,8.5,72,6,5.56,ZM,1594931947
izazi,-7.2,35.73,16.0,48,5,12.9,TZ,1594931947
rikitea,-23.12,-134.97,23.1,81,100,1.98,PF,1594931948
thompson,55.74,-97.86,19.0,63,75,6.2,CA,1594931948
hermanus,-34.42,19.23,10.56,80,0,1.79,ZA,1594931733
hithadhoo,-0.6,73.08,29.01,69,97,2.15,MV,1594931948
bredasdorp,-34.53,20.04,10.0,93,0,1.0,ZA,1594931948
pisco,-13.7,-76.22,16.67,87,90,1.5,PE,1594931948
nuuk,64.18,-51.72,15.0,62,20,2.6,GL,1594931796
bathsheba,13.22,-59.52,30.0,66,40,6.7,BB,1594931949
bluff,-46.6,168.33,3.16,88,23,4.27,NZ,1594931949
san patricio,19.22,-104.7,32.0,75,75,5.1,MX,1594931741
ushuaia,-54.8,-68.3,0.0,89,0,1.5,AR,1594931949
changli,39.7,119.15,23.07,82,56,0.86,CN,1594931944
vaini,-21.2,-175.2,25.0,78,20,3.1,TO,1594931735
upernavik,72.79,-56.15,7.46,80,14,2.86,GL,1594931950
hofn,64.25,-15.21,11.33,87,87,8.67,IS,1594931950
atuona,-9.8,-139.03,26.52,76,0,8.41,PF,1594931950
punta arenas,-53.15,-70.92,0.0,93,75,2.6,CL,1594931883
severo-kurilsk,50.68,156.12,11.2,90,84,1.35,RU,1594931951
rawson,-43.3,-65.1,6.89,78,96,3.0,AR,1594931873
fukue,32.69,128.84,22.57,85,71,6.47,JP,1594931951
qaanaaq,77.48,-69.36,6.75,78,85,1.94,GL,1594931952
santa maria,-29.68,-53.81,10.0,87,75,6.2,BR,1594931751
fonte boa,-2.5,-66.27,29.93,62,100,0.52,BR,1594931952
arraial do cabo,-22.97,-42.03,21.0,64,75,3.1,BR,1594931953
portland,45.52,-122.68,28.33,53,40,2.1,US,1594931858
new norfolk,-42.78,147.06,3.33,90,8,1.1,AU,1594931953
jamestown,42.1,-79.24,26.11,88,90,3.1,US,1594931794
xunchang,28.45,104.72,23.57,95,100,0.26,CN,1594931953
tibiri,13.56,7.05,30.81,52,29,4.76,NE,1594931953
limbang,4.75,115.0,24.0,94,75,0.5,MY,1594931953
hay river,60.82,-115.8,16.0,72,75,6.7,CA,1594931954
bengkulu,-3.8,102.27,24.51,87,62,1.91,ID,1594931954
castro,-24.79,-50.01,15.39,76,93,1.27,BR,1594931734
manokwari,-0.87,134.08,26.11,70,1,1.98,ID,1594931954
ayorou,14.73,0.92,34.59,36,23,2.67,NE,1594931954
carnarvon,-24.87,113.63,17.0,100,75,4.6,AU,1594931955
hobart,-42.88,147.33,3.33,93,40,0.5,AU,1594931777
ayia marina,37.75,23.53,26.11,37,0,2.4,GR,1594931955
itaituba,-4.28,-55.98,35.0,47,40,5.1,BR,1594931887
bubaque,11.28,-15.83,26.44,84,100,7.52,GW,1594931900
beringovskiy,63.05,179.32,11.47,78,93,2.12,RU,1594931956
mezen,65.85,44.24,11.02,71,99,2.2,RU,1594931956
chuy,-33.7,-53.46,9.96,87,81,2.44,UY,1594931957
emilio carranza,19.97,-96.61,31.94,54,0,7.96,MX,1594931957
port elizabeth,-33.92,25.57,5.0,93,28,2.1,ZA,1594931957
novoagansk,61.94,76.66,10.99,75,15,2.77,RU,1594931957
tuktoyaktuk,69.45,-133.04,13.0,62,75,5.7,CA,1594931957
stornoway,58.21,-6.39,13.0,93,99,3.6,GB,1594931934
codrington,-38.27,141.97,3.48,92,1,3.32,AU,1594931958
souillac,-20.52,57.52,21.0,77,40,3.6,MU,1594931958
maues,-3.38,-57.72,31.11,58,88,0.73,BR,1594931958
griffith,41.53,-87.42,27.78,69,40,3.1,US,1594931813
bentiu,9.23,29.83,23.49,87,99,1.76,SS,1594931959
cape town,-33.93,18.42,9.0,87,0,1.5,ZA,1594931922
santa clara,22.4,-79.97,29.0,74,75,6.2,CU,1594931883
taltal,-25.4,-70.48,18.33,48,20,2.29,CL,1594931959
cayenne,4.93,-52.33,30.0,70,100,1.5,GF,1594931771
bairiki,1.33,172.98,28.0,78,75,2.6,KI,1594931791
port hardy,50.7,-127.42,14.0,87,75,4.6,CA,1594931960
grand gaube,-20.01,57.66,20.0,80,3,1.79,MU,1594931960
provideniya,64.38,-173.3,9.0,81,90,2.0,RU,1594931737
leh,34.17,77.58,15.99,40,17,2.31,IN,1594931960
mahebourg,-20.41,57.7,21.0,77,40,3.6,MU,1594931960
bethel,41.37,-73.41,25.0,60,90,4.1,US,1594931960
yarada,17.65,83.27,28.0,83,90,5.1,IN,1594931946
hilo,19.73,-155.09,28.0,65,1,2.6,US,1594931719
mattru,7.62,-11.83,22.85,85,100,1.09,SL,1594931961
taveta,-3.4,37.67,19.0,77,40,4.1,KE,1594931961
coxim,-18.51,-54.76,30.13,25,0,2.33,BR,1594931961
jatiroto,-7.88,111.12,21.63,85,6,0.63,ID,1594931962
bilibino,68.05,166.44,7.68,88,100,0.79,RU,1594931962
husavik,66.04,-17.34,11.0,87,90,8.2,IS,1594931931
aykhal,66.0,111.5,11.0,76,0,2.0,RU,1594931962
butaritari,3.07,172.79,28.39,68,54,4.66,KI,1594931962
khuzhir,53.19,107.34,9.98,73,0,5.23,RU,1594931963
cannes,43.55,7.02,24.0,69,22,1.0,FR,1594931963
saint anthony,45.02,-93.22,28.89,37,1,5.1,US,1594931963
burns lake,54.23,-125.75,18.76,57,93,5.13,CA,1594931963
diego de almagro,-26.37,-70.05,24.83,15,0,3.56,CL,1594931964
sao miguel do araguaia,-13.28,-50.16,27.59,35,2,0.07,BR,1594931964
lixourion,38.2,20.43,24.0,78,20,3.6,GR,1594931964
taoudenni,22.68,-3.98,34.66,31,100,2.28,ML,1594931964
boyolangu,-8.12,111.89,21.8,90,20,0.62,ID,1594931964
price,39.6,-110.81,31.0,16,40,10.3,US,1594931857
avera,33.19,-82.53,34.0,49,1,3.1,US,1594931898
georgetown,5.41,100.34,25.56,100,40,1.66,MY,1594931879
ornskoldsvik,63.29,18.72,14.0,82,0,1.0,SE,1594931965
chernyshevskiy,63.01,112.47,10.54,91,60,2.66,RU,1594931965
belyy yar,53.6,91.39,17.0,72,74,3.0,RU,1594931776
letlhakeng,-24.09,25.03,6.03,57,0,1.7,BW,1594931965
mackay,-21.15,149.2,5.0,93,0,1.5,AU,1594931926
pevek,69.7,170.31,3.85,99,100,2.3,RU,1594931966
egvekinot,66.32,-179.17,12.04,80,67,1.68,RU,1594931966
lavrentiya,65.58,-171.0,10.69,77,98,1.97,RU,1594931738
sao filipe,14.9,-24.5,24.33,81,18,4.22,CV,1594931966
vila,42.03,-8.16,30.56,39,45,5.1,PT,1594931967
ulaangom,49.98,92.07,15.81,57,7,2.03,MN,1594931929
kaitangata,-46.28,169.85,4.44,73,9,0.89,NZ,1594931967
saint-philippe,-21.36,55.77,20.0,72,11,3.1,RE,1594931967
guadalupe y calvo,26.1,-106.97,21.13,71,78,2.66,MX,1594931968
mar del plata,-38.0,-57.56,13.33,50,0,4.1,AR,1594931681
los llanos de aridane,28.66,-17.92,22.22,78,20,5.1,ES,1594931968
alice springs,-23.7,133.88,1.0,64,0,2.6,AU,1594931951
plettenberg bay,-34.05,23.37,14.46,41,44,2.17,ZA,1594931968
shakawe,-18.37,21.85,12.57,46,0,4.15,BW,1594931923
geraldton,-28.77,114.6,14.0,87,90,9.3,AU,1594931969
nelson bay,-32.72,152.15,13.0,76,90,4.6,AU,1594931969
yatou,37.15,122.38,19.39,93,0,2.77,CN,1594931969
kavaratti,10.57,72.64,28.29,80,99,11.03,IN,1594931898
constitucion,-35.33,-72.42,12.07,82,100,4.46,CL,1594931970
maceio,-9.67,-35.74,25.0,65,40,6.2,BR,1594931748
esperance,-33.87,121.9,14.0,100,90,5.1,AU,1594931970
dawlatabad,36.41,64.91,27.76,19,29,2.21,AF,1594931970
sobolevo,54.43,31.9,11.99,89,93,2.67,RU,1594931971
kodiak,57.79,-152.41,14.0,76,90,2.1,US,1594931971
avarua,-21.21,-159.78,23.0,69,0,4.1,CK,1594931971
bambous virieux,-20.34,57.76,21.0,77,40,3.6,MU,1594931781
nathdwara,24.93,73.82,28.28,70,6,1.91,IN,1594931971
dunedin,-45.87,170.5,4.44,75,43,2.24,NZ,1594931882
xuchang,34.02,113.82,23.0,83,100,1.0,CN,1594931972
rio branco,-9.97,-67.81,32.0,52,40,1.5,BR,1594931972
beruwala,6.48,79.98,26.83,86,100,2.95,LK,1594931972
dingle,11.0,122.67,24.65,88,19,0.83,PH,1594931894
saint-augustin,51.23,-58.65,21.4,45,48,7.51,CA,1594931972
port alfred,-33.59,26.89,14.23,49,14,3.35,ZA,1594931879
yar-sale,66.83,70.83,7.64,79,0,1.97,RU,1594931973
russell,32.35,-85.2,34.0,52,1,2.33,US,1594931973
salinas,36.68,-121.66,22.22,60,1,5.7,US,1594931882
asau,46.43,26.4,15.0,88,0,2.38,RO,1594931887
beckley,37.78,-81.19,34.0,58,20,3.6,US,1594931758
neusiedl am see,47.94,16.83,16.0,82,20,4.1,AT,1594931974
rafaela,-31.25,-61.49,20.0,28,0,1.34,AR,1594931916
norman wells,65.28,-126.83,17.0,82,90,4.6,CA,1594931975
matamoros,25.53,-103.25,36.0,22,75,3.1,MX,1594931975
talnakh,69.49,88.4,9.0,93,40,6.0,RU,1594931975
vestmannaeyjar,63.44,-20.27,10.93,90,100,6.91,IS,1594931975
cabo san lucas,22.89,-109.91,34.0,62,5,5.1,MX,1594931930
oxapampa,-10.58,-75.4,19.57,75,52,1.47,PE,1594931976
kutum,14.2,24.67,26.43,48,69,3.9,SD,1594931976
skelleftea,64.75,20.95,16.11,72,0,1.5,SE,1594931901
antofagasta,-23.65,-70.4,14.0,76,75,6.2,CL,1594931795
antalaha,-14.9,50.28,20.9,81,58,3.37,MG,1594931901
ondjiva,-17.07,15.73,13.45,37,0,4.06,AO,1594931977
ancud,-41.87,-73.82,11.11,93,90,5.7,CL,1594931977
port hedland,-20.32,118.57,12.0,71,0,2.6,AU,1594931977
prodromos,34.95,32.83,25.0,78,20,2.1,CY,1594931977
east london,-33.02,27.91,14.62,41,0,2.57,ZA,1594931977
atikokan,48.76,-91.62,19.75,69,99,2.0,CA,1594931977
ponta do sol,32.67,-17.1,22.0,73,1,1.5,PT,1594931977
sitka,57.05,-135.33,15.0,77,75,4.6,US,1594931978
villamontes,-21.25,-63.5,26.77,42,56,1.14,BO,1594931978
kudahuvadhoo,2.67,72.89,29.11,69,100,2.03,MV,1594931978
chokurdakh,70.63,147.92,5.79,89,100,3.2,RU,1594931978
saldanha,-33.01,17.94,11.0,66,0,4.52,ZA,1594931979
imbituba,-28.24,-48.67,17.0,63,75,1.5,BR,1594931979
katsuura,35.13,140.3,20.0,94,75,1.5,JP,1594931979
soyo,-6.13,12.37,22.34,90,77,2.01,AO,1594931979
moorhead,46.87,-96.77,29.0,37,20,6.7,US,1594931980
corpus christi,27.8,-97.4,33.0,70,75,8.7,US,1594931884
pekin,39.91,116.4,30.0,74,100,3.13,CN,1594931851
san cristobal,7.77,-72.22,33.0,46,40,2.1,VE,1594931980
airai,-8.93,125.41,13.16,91,0,1.27,TL,1594931980
ribeira grande,38.52,-28.7,22.0,73,75,5.1,PT,1594931981
suhbaatar,50.23,106.21,8.11,77,20,1.0,MN,1594931981
khandbari,27.37,87.2,23.65,78,93,0.62,NP,1594931981
port-gentil,-0.72,8.78,25.0,83,75,5.32,GA,1594931955
